epoch,loss,mean_absolute_error,mean_squared_error,r2_keras
76,1202.171947191327,12.68794178815417,1202.171947191327,0.8825267240016844
77,1072.1077064270298,12.32158369791306,1072.1077064270298,0.8948492775224659
78,1084.2070810880002,12.140001073115428,1084.2070810880002,0.8994054723868216
79,862.7079804507821,11.656295764583943,862.7079804507821,0.9112125785479519
80,924.6512833809679,11.702317050602883,924.6512833809679,0.9113031823949534
81,928.9034162506505,11.61855177478447,928.9034162506505,0.9045430946471772
82,914.6843301003062,11.91294065880705,914.6843301003062,0.9080931320326193
83,850.2425674163876,11.383149911151468,850.2425674163876,0.9176593899182534
84,864.8882482519978,11.491777909817056,864.8882482519978,0.9090483355131516
85,983.2988978336487,11.969281642692499,983.2988978336487,0.9054229962803362
86,795.2308251531797,11.174261934873144,795.2308251531797,0.9215251463989464
